hare,lynx,times
30.48697614858022,3.834610056182525,0
44.1605855266289,4.837056167500201,1
69.65638736828134,8.45067862616281,2
69.06520336920296,25.240121310358578,3
39.001648530064074,43.10737500362036,4
16.078495084118074,35.65624488392173,5
11.249923470738892,24.52599997976219,6
12.097373187370517,11.29117333878706,7
14.50303296579522,6.626014495108202,8
19.34396204879291,4.8544051826357615,9
31.344591438907084,3.7698906730012585,10
48.711097116165135,4.585183258900093,11
57.0359010643981,7.764835311406948,12
52.063310225156506,21.419328578069326,13
32.71560501141263,36.92096462307415,14
15.521005658493337,31.950558511842946,15
13.09721222347116,23.79554024141827,16
12.543617645979282,15.952991175205549,17
12.526886817933114,7.34400597210676,18
19.31809195760856,5.082473200416793,19
27.599305130821737,3.5477561323982205,20
